rating,review,date,userName
4,suggestion,2021-02-05 10:14:14,r980831
1,location privacy offline suppprt,2021-08-08 21:11:24,sweatytryhard989
5,removal auto selection pfizer approval vaccination side kingdom,2021-08-09 10:48:24,Lei Davinci
4,good overall,2020-05-07 11:41:27,hadkamal
5,login log,2021-09-09 17:56:20,ebuHuda
5,digital ksa cannot get better,2021-02-17 09:58:06,Amansterq
3,signs automatically,2021-09-03 23:28:25,Ahmad azizkhan
4,good step,2020-05-07 05:16:12,Essa asoulais
1,nice app unqualified operators,2021-05-27 21:42:51,Bakr73
4,suggestion,2021-07-03 22:07:27,Joseph:;;
4,activation,2021-02-02 16:35:08,Gie11997799
1,not professional app,2021-02-04 13:33:19,Faizan2732
4,error health passport,2021-06-23 14:42:15,Sam Waqfi
5,time duration,2020-05-06 19:22:01,toothglitter
3,difficult log,2021-02-07 05:33:43,Abu.Salah
3,updated app not updating may health condition immune first dose,2021-05-20 01:18:12,amaana0721
2,good app many glitches,2020-05-05 11:07:46,MHazazi
2,not considering residents outside city,2020-05-25 13:47:30,Esraasssssdd
1,bad,2021-02-02 15:21:29,Timhatem
1,barely usable,2021-02-25 06:56:32,anas dabbar
4,repeated signing nowhere,2021-09-04 08:59:14,chychy95
4,mr,2021-04-10 12:32:42,wadalbadawi
5,idea,2021-08-14 15:00:51,MalikBasha
5,outstanding,2021-03-26 06:48:22,iHarbiz
1,acceptable standards,2021-02-03 19:21:13,abdulamrah
5,cant open apps,2021-05-23 10:17:31,oc.pugot
5,access improvement,2021-02-05 16:26:56,xghuzz
3,application feedback,2021-02-05 08:29:21,Aziziphone
5,widget supports iphone,2021-03-25 14:05:02,Aturaik
3,login issues,2021-02-03 18:15:08,1984KP
1,crappy battery hog,2021-09-11 12:34:02,Muath1000
2,abuse phone,2021-06-20 18:18:49,Saudinavigator0
5,apple wallet,2021-04-02 16:56:20,zawad1986
3,something wrong latest update,2020-06-09 17:11:08,Mehboob01
5,one best apps,2021-05-23 01:48:38,Mastermind609
5,awesome easy use,2021-02-17 10:58:45,mikealshaikh
5,useful app,2021-09-03 17:48:30,Mo.Ot14
5,review,2021-02-16 11:05:39,mesh_kh
5,replay person made suggestion,2021-02-16 10:51:11,Abeer_iz
