userName,rating,date,review
istiak mahmud,5,2021-09-29 00:10:46,Gd
Satham Skf,1,2021-09-28 23:58:05,Hello Saudi friends Saudi dose vaccine india dose immunizer immune status update
Ahmed احمد Gadi قاضي,4,2021-09-28 23:56:37,Okay
Sajahan Bd,5,2021-09-28 23:55:44,It is very important and very helpful to find the person about
spider jaymari,5,2021-09-28 23:51:58,this app is very useful in everyday life here in saudi though u nid to update always but is really good
mhd mhd,5,2021-09-28 23:49:24,The application is excellent and the idea is more than wonderful and in terms of positive criticism it has been rated with stars noting that updates must be planned and reported in advance to avoid problems with the sudden update
Alisha Tomawis,5,2021-09-28 23:46:44,It was amazing
Jolie Abungan,5,2021-09-28 23:37:57,happy
Jayaprakash A,5,2021-09-28 23:26:02,Giving breif information which may useful
waly mansour,1,2021-09-28 23:22:50,Very bad application need update every days
Chito Buesing,5,2021-09-28 23:22:31,It takes a long time to update
rad rad,4,2021-09-28 23:18:52,I suggest adding a list of countries to which Saudis are prohibited from traveling because of
Johir Khan,4,2021-09-28 23:08:34,Bangladesh
raju ankam,5,2021-09-28 23:08:21,Good app
MYO Sabriye,5,2021-09-28 23:07:05,Excellent
Jimmy Gutierrez,5,2021-09-28 23:04:54,Excellent
Nadan Afridi,5,2021-09-28 23:02:55,Like this app
KARAMAT ALI,5,2021-09-28 22:51:37,Very best and easily accessible and working good
rizwan khalid,5,2021-09-28 22:45:39,Electrical
placido rulete,3,2021-09-28 22:44:57,Sometime not working
Wqar 25,5,2021-09-28 22:44:40,Good health care
Abdul Gafoor,4,2021-09-28 22:44:08,Good
Sami Mallik,5,2021-09-28 22:44:00,An excellent and very easy operating application
Alfan gamer sk,5,2021-09-28 22:40:55,Nice
Ali Hijazi,5,2021-09-28 22:40:34,Very good
Sha Navas,4,2021-09-28 22:38:56,This app is very important and useful
Mubarak Miah,5,2021-09-28 22:36:24,Good
hhh 12,1,2021-09-28 22:33:28,GPS always on
Mohd Asif,5,2021-09-28 22:31:33,Nice
mahi uddin,5,2021-09-28 22:25:44,MAHIUDDIN
Mohammad Mahfooz Alam,5,2021-09-28 22:23:58,Vv Good
SH Supti,3,2021-09-28 22:19:33,Nice
Riaz Khan,5,2021-09-28 22:19:32,Excellent
ibrahim olayiwola,4,2021-09-28 22:16:42,Good
Shareef. Share happy new year,5,2021-09-28 22:15:47,star
tej rana,5,2021-09-28 22:13:54,Tawakkalna is verry good app
Sanjit Ram Chandra Sanjit Ram Chandra,1,2021-09-28 22:13:22,Sanjit
Aslam Sharif,4,2021-09-28 22:11:54,By
Saeed Ali Soomro,5,2021-09-28 22:08:40,Nice
KHANALII KHANALII,4,2021-09-28 22:08:07,Good
Rizwan Zahid,5,2021-09-28 22:05:33,ok good
Shahbaz Shahbaz,5,2021-09-28 22:04:53,Good
Naseer Awan,1,2021-09-28 22:03:42,Hghhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
Khalid Iqbal,5,2021-09-28 22:00:52,I like this app very much Much better this also active in Pakistan So that expats get more banifits and their troubles could be minimise Best regards
time pass Idrisi,5,2021-09-28 21:58:08,Good app but update jyda mag rha h
Nash Burce,4,2021-09-28 21:56:59,good
harun saleem,4,2021-09-28 21:49:35,Nice
arfin Sumon,5,2021-09-28 21:46:39,Good
Syed Ali Aliyar,5,2021-09-28 21:44:29,I love it
Ab Malek,3,2021-09-28 21:43:50,Very poor
هادي المحائلي,5,2021-09-28 21:43:39,Great
Mylies Felipe,1,2021-09-28 21:43:20,Good health
Haitham Elashry,5,2021-09-28 21:43:07,Good
Shah Alam,5,2021-09-28 21:39:19,Good service
Md Masud Rana,5,2021-09-28 21:38:11,nice
ড্রাইভার দের প্রতিবাদ ড্রাইভার দের প্রতিবাদ,5,2021-09-28 21:33:38,fine
AL MASUD,5,2021-09-28 21:32:37,Good
razia shafeek,4,2021-09-28 21:32:24,Nice app easy to use
Fiaz Waras,4,2021-09-28 21:31:54,Very good
Hannah Vergara,5,2021-09-28 21:30:59,I am very kind person
Sayed Ismaiel,5,2021-09-28 21:30:10,Amazing
Revnath Kadam,4,2021-09-28 21:30:01,Good
Nazim Vicky,4,2021-09-28 21:29:25,Good
Mdmonir Hasan,5,2021-09-28 21:28:33,Good
Raees Ahmad,1,2021-09-28 21:28:19,Why every week ask to update
Imran bhatti,5,2021-09-28 21:26:44,Good
Md dolal Maya,5,2021-09-28 21:25:36,Good
Cook Like AMMI,5,2021-09-28 21:19:16,This is a great app for health must download
Mohd Rajib,5,2021-09-28 21:18:25,Good
DILIP KUMAR,1,2021-09-28 21:16:27,raha
Anas Khan,5,2021-09-28 21:14:40,One of the Best App in the world
Edgar Ngujo,5,2021-09-28 21:12:24,Best app to monitor health status
dhanu zoysa,5,2021-09-28 21:12:22,Good app
Edwin Misa,5,2021-09-28 21:12:02,Good
Juned Alam,5,2021-09-28 21:10:29,Very good
md kawsar patowari,5,2021-09-28 21:10:14,Tawakkalna is beast app for
assa munda,5,2021-09-28 21:08:26,Good
mark Renn,3,2021-09-28 21:07:09,Does not open
Gabril Menil,5,2021-09-28 21:07:05,Amazing
akber ahmed Ahmed,4,2021-09-28 21:06:42,Nice to have this
Benamir Guiamad,5,2021-09-28 21:05:49,Great app
Quamar creation,5,2021-09-28 21:05:23,Awesome app to control on Covid I feel happy and safe to visit any public area
Katherine Lagrimas,5,2021-09-28 21:05:21,gg
RASMIYAH CALIM,5,2021-09-28 21:04:27,Good
Md Rashed,5,2021-09-28 21:03:51,Good app
Osim Akhtar,4,2021-09-28 21:01:22,Goog
Ali Bandesha,5,2021-09-28 21:00:44,nice
Afzalsoomro717@gmail.com Hafsa1234,5,2021-09-28 20:59:49,Very nice
Raham Sher,4,2021-09-28 20:59:26,Good app
Riyaz Bandesha,5,2021-09-28 20:57:19,Nice
Suraj Patel,5,2021-09-28 20:54:26,Good
Amador Barbacena,5,2021-09-28 20:48:26,not sure
Hazoor Bakhsh,1,2021-09-28 20:46:46,What the hall every day update updates if i do not have Internet so how i update if not updated his app not open proper
Muhmmad arshad Arshad,5,2021-09-28 20:46:25,Wow
Dk Bro,5,2021-09-28 20:45:09,good
nadeem iftikhar,5,2021-09-28 20:44:57,Great
Candice Kian,4,2021-09-28 20:44:57,Fantastic
Sayed Ismaeel Alqurashi,2,2021-09-28 20:43:52,In the recent update you made it impossible to take Screenshot of Tawakkalna home page Well would you provide free Internet especially for students It is mandatory to present Tawakkalna before entering school
monjur alom,5,2021-09-28 20:42:53,good
Noor Muhammad,5,2021-09-28 20:40:43,Very nice apps
Muhibur Rahman,5,2021-09-28 20:39:15,What a fantastic app create Saudi Arabia we find everything here about coronavirus and something others thanks Saudi Arabia
M Javeed,5,2021-09-28 20:35:54,Uuu
Muhammad Faiyaz Hussain,5,2021-09-28 20:34:41,Awesome
Shankar K,5,2021-09-28 20:34:23,Excellent app
Eddy Ahmed,5,2021-09-28 20:32:08,Good and complete for many using
Christina Ramos,1,2021-09-28 20:31:38,Thise apps so nice
AL AMIN,5,2021-09-28 20:31:09,Excellent
akibur biswas,5,2021-09-28 20:29:54,Good
sm shahadot,5,2021-09-28 20:25:06,Good apps
Holy Talking BD,5,2021-09-28 20:23:32,good
Melfred Fonollera,5,2021-09-28 20:22:43,Very useful
Gilbert Jayoma Official,5,2021-09-28 20:21:18,Friendly user apps
Anamul Haque,5,2021-09-28 20:19:45,Good
Nazeer Raheem,4,2021-09-28 20:18:28,Good
Mida Dimaudtang,5,2021-09-28 20:18:17,Very helpful mostly for the travelers
Mariano Suarez,5,2021-09-28 20:16:07,it is nice used this app
Abdul Rahiman,5,2021-09-28 20:14:45,It is good
Red Baal,5,2021-09-28 20:14:29,Ok
Minhaj Ahmed,5,2021-09-28 20:12:31,Good step for ksa gov Best of luck
SEID MOHAMMED,5,2021-09-28 20:10:45,good
Km Shanavas,5,2021-09-28 20:08:40,Wery helpfull app
samsudeen moomin,5,2021-09-28 20:08:02,useful very much valuable information entered app not forget that very easy to use
Muhammad Azim,5,2021-09-28 20:06:35,Very nice and helpful Easy to use
yaser ali,5,2021-09-28 20:03:56,excellent
farin Khan,5,2021-09-28 20:01:17,Very goog Alhumdulilah
sher mardan,5,2021-09-28 19:58:59,It is good
Saravanan Thiyagarajan,5,2021-09-28 19:58:45,Good to enter any where right now comfortable journey
Arham Ali,4,2021-09-28 19:57:34,Nice app
